
Note: No compatibility mode selected!


Circuit: TB1: Blink Code Read Verification

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Operating point simulation skipped by 'uic',
  now using transient initial conditions.

No. of Data Rows : 50238

  Measurements for Transient Analysis

v_mcu_idle          =  6.287411e-02 from=  0.000000e+00 to=  4.000989e-01
v_mcu_blink1_peak   =  3.309370e+00 at=  5.002470e-01
v_mcu_blink2_peak   =  3.299989e+00 at=  1.699823e+00
v_mcu_blink3_peak   =  3.308658e+00 at=  2.100233e+00
t_rise              =  3.086530e-05 targ=  5.002143e-01 trig=  5.001835e-01
t_fall              =  -9.017592e-01 targ=  1.009624e-06 trig=  9.017603e-01


The file "results/tb1_blink_read.ps" may be printed on a postscript printer.
                       TB1: Blink Code Read Verification
                       Transient Analysis  Sat Mar 21 23:09:37  2026
--------------------------------------------------------------------------------
Index   time            v(diag_pin)     v(mcu_gpio)     
--------------------------------------------------------------------------------
123	9.798859e-03	7.663756e+00	6.287396e-02	
124	9.898859e-03	7.663755e+00	6.287388e-02	
125	9.998859e-03	7.663756e+00	6.287396e-02	
126	1.009886e-02	7.663755e+00	6.287388e-02	
127	1.019886e-02	7.663756e+00	6.287396e-02	
128	1.029886e-02	7.663755e+00	6.287388e-02	
129	1.039886e-02	7.663756e+00	6.287396e-02	
130	1.049886e-02	7.663755e+00	6.287388e-02	
131	1.059886e-02	7.663756e+00	6.287396e-02	
132	1.069886e-02	7.663755e+00	6.287388e-02	
133	1.079886e-02	7.663756e+00	6.287396e-02	
134	1.089886e-02	7.663755e+00	6.287388e-02	
135	1.099886e-02	7.663756e+00	6.287396e-02	
136	1.109886e-02	7.663755e+00	6.287388e-02	
137	1.119886e-02	7.663756e+00	6.287396e-02	
138	1.129886e-02	7.663755e+00	6.287388e-02	
139	1.139886e-02	7.663756e+00	6.287396e-02	
140	1.149886e-02	7.663755e+00	6.287388e-02	
141	1.159886e-02	7.663756e+00	6.287396e-02	
142	1.169886e-02	7.663755e+00	6.287388e-02	
143	1.179886e-02	7.663756e+00	6.287396e-02	
144	1.189886e-02	7.663755e+00	6.287388e-02	
145	1.199886e-02	7.663756e+00	6.287396e-02	
146	1.209886e-02	7.663755e+00	6.287388e-02	
147	1.219886e-02	7.663756e+00	6.287396e-02	
148	1.229886e-02	7.663755e+00	6.287388e-02	
149	1.239886e-02	7.663756e+00	6.287396e-02	
150	1.249886e-02	7.663755e+00	6.287388e-02	
151	1.259886e-02	7.663756e+00	6.287396e-02	
152	1.269886e-02	7.663755e+00	6.287388e-02	
153	1.279886e-02	7.663756e+00	6.287396e-02	
154	1.289886e-02	7.663755e+00	6.287388e-02	
155	1.299886e-02	7.663756e+00	6.287396e-02	
156	1.309886e-02	7.663755e+00	6.287388e-02	
157	1.319886e-02	7.663756e+00	6.287396e-02	
158	1.329886e-02	7.663755e+00	6.287388e-02	
159	1.339886e-02	7.663756e+00	6.287396e-02	
160	1.349886e-02	7.663755e+00	6.287388e-02	
161	1.359886e-02	7.663756e+00	6.287396e-02	
162	1.369886e-02	7.663755e+00	6.287388e-02	
163	1.379886e-02	7.663756e+00	6.287396e-02	
164	1.389886e-02	7.663755e+00	6.287388e-02	
165	1.399886e-02	7.663756e+00	6.287396e-02	
166	1.409886e-02	7.663755e+00	6.287388e-02	
167	1.419886e-02	7.663756e+00	6.287396e-02	
168	1.429886e-02	7.663755e+00	6.287388e-02	
169	1.439886e-02	7.663756e+00	6.287396e-02	
170	1.449886e-02	7.663755e+00	6.287388e-02	

Index   time            v(diag_pin)     v(mcu_gpio)     
--------------------------------------------------------------------------------
171	1.459886e-02	7.663756e+00	6.287396e-02	
172	1.469886e-02	7.663755e+00	6.287388e-02	
173	1.479886e-02	7.663756e+00	6.287396e-02	
174	1.489886e-02	7.663755e+00	6.287388e-02	
175	1.499886e-02	7.663756e+00	6.287396e-02	
176	1.509886e-02	7.663755e+00	6.287388e-02	
177	1.519886e-02	7.663756e+00	6.287396e-02	
178	1.529886e-02	7.663755e+00	6.287388e-02	
179	1.539886e-02	7.663756e+00	6.287396e-02	
180	1.549886e-02	7.663755e+00	6.287388e-02	
181	1.559886e-02	7.663756e+00	6.287396e-02	
182	1.569886e-02	7.663755e+00	6.287388e-02	
183	1.579886e-02	7.663756e+00	6.287396e-02	
184	1.589886e-02	7.663755e+00	6.287388e-02	
185	1.599886e-02	7.663756e+00	6.287396e-02	
186	1.609886e-02	7.663755e+00	6.287388e-02	
187	1.619886e-02	7.663756e+00	6.287396e-02	
188	1.629886e-02	7.663755e+00	6.287388e-02	
189	1.639886e-02	7.663756e+00	6.287396e-02	
190	1.649886e-02	7.663755e+00	6.287388e-02	
191	1.659886e-02	7.663756e+00	6.287396e-02	
192	1.669886e-02	7.663755e+00	6.287388e-02	
193	1.679886e-02	7.663756e+00	6.287396e-02	
194	1.689886e-02	7.663755e+00	6.287388e-02	
195	1.699886e-02	7.663756e+00	6.287396e-02	
196	1.709886e-02	7.663755e+00	6.287388e-02	
197	1.719886e-02	7.663756e+00	6.287396e-02	
198	1.729886e-02	7.663755e+00	6.287388e-02	
199	1.739886e-02	7.663756e+00	6.287396e-02	
200	1.749886e-02	7.663755e+00	6.287388e-02	
201	1.759886e-02	7.663756e+00	6.287396e-02	
202	1.769886e-02	7.663755e+00	6.287388e-02	
203	1.779886e-02	7.663756e+00	6.287396e-02	
204	1.789886e-02	7.663755e+00	6.287388e-02	
