 3.59211281e-05  1.20000000e+01  3.59211281e-05  1.19714539e+01  3.59211281e-05  4.99818566e+00  3.59211281e-05  3.29880044e+00  3.59211281e-05  1.19556103e+01 
 3.69211281e-05  1.20000000e+01  3.69211281e-05  1.19704529e+01  3.69211281e-05  4.99818566e+00  3.69211281e-05  3.29880044e+00  3.69211281e-05  1.19545877e+01 
 3.79211281e-05  1.20000000e+01  3.79211281e-05  1.19694507e+01  3.79211281e-05  4.99818566e+00  3.79211281e-05  3.29880044e+00  3.79211281e-05  1.19535666e+01 
 3.89211281e-05  1.20000000e+01  3.89211281e-05  1.19684474e+01  3.89211281e-05  4.99818566e+00  3.89211281e-05  3.29880044e+00  3.89211281e-05  1.19525467e+01 
 3.99211281e-05  1.20000000e+01  3.99211281e-05  1.19674432e+01  3.99211281e-05  4.99818566e+00  3.99211281e-05  3.29880044e+00  3.99211281e-05  1.19515279e+01 
 4.09211281e-05  1.20000000e+01  4.09211281e-05  1.19664381e+01  4.09211281e-05  4.99818566e+00  4.09211281e-05  3.29880044e+00  4.09211281e-05  1.19505102e+01 
 4.19211281e-05  1.20000000e+01  4.19211281e-05  1.19654323e+01  4.19211281e-05  4.99818566e+00  4.19211281e-05  3.29880044e+00  4.19211281e-05  1.19494933e+01 
 4.29211281e-05  1.20000000e+01  4.29211281e-05  1.19644259e+01  4.29211281e-05  4.99818566e+00  4.29211281e-05  3.29880044e+00  4.29211281e-05  1.19484773e+01 
 4.39211281e-05  1.20000000e+01  4.39211281e-05  1.19634189e+01  4.39211281e-05  4.99818566e+00  4.39211281e-05  3.29880044e+00  4.39211281e-05  1.19474619e+01 
 4.49211281e-05  1.20000000e+01  4.49211281e-05  1.19624115e+01  4.49211281e-05  4.99818566e+00  4.49211281e-05  3.29880044e+00  4.49211281e-05  1.19464472e+01 
 4.59211281e-05  1.20000000e+01  4.59211281e-05  1.19614036e+01  4.59211281e-05  4.99818566e+00  4.59211281e-05  3.29880044e+00  4.59211281e-05  1.19454331e+01 
 4.69211281e-05  1.20000000e+01  4.69211281e-05  1.19603954e+01  4.69211281e-05  4.99818566e+00  4.69211281e-05  3.29880044e+00  4.69211281e-05  1.19444195e+01 
 4.79211281e-05  1.20000000e+01  4.79211281e-05  1.19593869e+01  4.79211281e-05  4.99818566e+00  4.79211281e-05  3.29880044e+00  4.79211281e-05  1.19434064e+01 
 4.89211281e-05  1.20000000e+01  4.89211281e-05  1.19583781e+01  4.89211281e-05  4.99818566e+00  4.89211281e-05  3.29880044e+00  4.89211281e-05  1.19423937e+01 
 4.99211281e-05  1.20000000e+01  4.99211281e-05  1.19573692e+01  4.99211281e-05  4.99818566e+00  4.99211281e-05  3.29880044e+00  4.99211281e-05  1.19413814e+01 
 5.09211281e-05  1.20000000e+01  5.09211281e-05  1.19563600e+01  5.09211281e-05  4.99818566e+00  5.09211281e-05  3.29880044e+00  5.09211281e-05  1.19403694e+01 
 5.19211281e-05  1.20000000e+01  5.19211281e-05  1.19553507e+01  5.19211281e-05  4.99818566e+00  5.19211281e-05  3.29880044e+00  5.19211281e-05  1.19393578e+01 
 5.29211281e-05  1.20000000e+01  5.29211281e-05  1.19543413e+01  5.29211281e-05  4.99818566e+00  5.29211281e-05  3.29880044e+00  5.29211281e-05  1.19383464e+01 
 5.39211281e-05  1.20000000e+01  5.39211281e-05  1.19533317e+01  5.39211281e-05  4.99818566e+00  5.39211281e-05  3.29880044e+00  5.39211281e-05  1.19373354e+01 
 5.49211281e-05  1.20000000e+01  5.49211281e-05  1.19523221e+01  5.49211281e-05  4.99818566e+00  5.49211281e-05  3.29880044e+00  5.49211281e-05  1.19363246e+01 
 5.59211281e-05  1.20000000e+01  5.59211281e-05  1.19513124e+01  5.59211281e-05  4.99818566e+00  5.59211281e-05  3.29880044e+00  5.59211281e-05  1.19353140e+01 
 5.69211281e-05  1.20000000e+01  5.69211281e-05  1.19503027e+01  5.69211281e-05  4.99818566e+00  5.69211281e-05  3.29880044e+00  5.69211281e-05  1.19343036e+01 
 5.79211281e-05  1.20000000e+01  5.79211281e-05  1.19492930e+01  5.79211281e-05  4.99818566e+00  5.79211281e-05  3.29880044e+00  5.79211281e-05  1.19332935e+01 
 5.89211281e-05  1.20000000e+01  5.89211281e-05  1.19482832e+01  5.89211281e-05  4.99818566e+00  5.89211281e-05  3.29880044e+00  5.89211281e-05  1.19322835e+01 
 5.99211281e-05  1.20000000e+01  5.99211281e-05  1.19472734e+01  5.99211281e-05  4.99818566e+00  5.99211281e-05  3.29880044e+00  5.99211281e-05  1.19312737e+01 
 6.09211281e-05  1.20000000e+01  6.09211281e-05  1.19462637e+01  6.09211281e-05  4.99818566e+00  6.09211281e-05  3.29880044e+00  6.09211281e-05  1.19302640e+01 
 6.19211281e-05  1.20000000e+01  6.19211281e-05  1.19452539e+01  6.19211281e-05  4.99818566e+00  6.19211281e-05  3.29880044e+00  6.19211281e-05  1.19292545e+01 
 6.29211281e-05  1.20000000e+01  6.29211281e-05  1.19442442e+01  6.29211281e-05  4.99818566e+00  6.29211281e-05  3.29880044e+00  6.29211281e-05  1.19282452e+01 
 6.39211281e-05  1.20000000e+01  6.39211281e-05  1.19432345e+01  6.39211281e-05  4.99818566e+00  6.39211281e-05  3.29880044e+00  6.39211281e-05  1.19272360e+01 
 6.49211281e-05  1.20000000e+01  6.49211281e-05  1.19422249e+01  6.49211281e-05  4.99818566e+00  6.49211281e-05  3.29880044e+00  6.49211281e-05  1.19262269e+01 
 6.59211281e-05  1.20000000e+01  6.59211281e-05  1.19412153e+01  6.59211281e-05  4.99818566e+00  6.59211281e-05  3.29880044e+00  6.59211281e-05  1.19252180e+01 
 6.69211281e-05  1.20000000e+01  6.69211281e-05  1.19402057e+01  6.69211281e-05  4.99818566e+00  6.69211281e-05  3.29880044e+00  6.69211281e-05  1.19242092e+01 
 6.79211281e-05  1.20000000e+01  6.79211281e-05  1.19391962e+01  6.79211281e-05  4.99818566e+00  6.79211281e-05  3.29880044e+00  6.79211281e-05  1.19232005e+01 
 6.89211281e-05  1.20000000e+01  6.89211281e-05  1.19381867e+01  6.89211281e-05  4.99818566e+00  6.89211281e-05  3.29880044e+00  6.89211281e-05  1.19221919e+01 
 6.99211281e-05  1.20000000e+01  6.99211281e-05  1.19371773e+01  6.99211281e-05  4.99818566e+00  6.99211281e-05  3.29880044e+00  6.99211281e-05  1.19211834e+01 
 7.09211281e-05  1.20000000e+01  7.09211281e-05  1.19361680e+01  7.09211281e-05  4.99818566e+00  7.09211281e-05  3.29880044e+00  7.09211281e-05  1.19201750e+01 
 7.19211281e-05  1.20000000e+01  7.19211281e-05  1.19351587e+01  7.19211281e-05  4.99818566e+00  7.19211281e-05  3.29880044e+00  7.19211281e-05  1.19191668e+01 
 7.29211281e-05  1.20000000e+01  7.29211281e-05  1.19341495e+01  7.29211281e-05  4.99818566e+00  7.29211281e-05  3.29880044e+00  7.29211281e-05  1.19181586e+01 
 7.39211281e-05  1.20000000e+01  7.39211281e-05  1.19331404e+01  7.39211281e-05  4.99818566e+00  7.39211281e-05  3.29880044e+00  7.39211281e-05  1.19171506e+01 
 7.49211281e-05  1.20000000e+01  7.49211281e-05  1.19321314e+01  7.49211281e-05  4.99818566e+00  7.49211281e-05  3.29880044e+00  7.49211281e-05  1.19161426e+01 
 7.59211281e-05  1.20000000e+01  7.59211281e-05  1.19311224e+01  7.59211281e-05  4.99818566e+00  7.59211281e-05  3.29880044e+00  7.59211281e-05  1.19151347e+01 
 7.69211281e-05  1.20000000e+01  7.69211281e-05  1.19301135e+01  7.69211281e-05  4.99818566e+00  7.69211281e-05  3.29880044e+00  7.69211281e-05  1.19141270e+01 
 7.79211281e-05  1.20000000e+01  7.79211281e-05  1.19291046e+01  7.79211281e-05  4.99818566e+00  7.79211281e-05  3.29880044e+00  7.79211281e-05  1.19131193e+01 
 7.89211281e-05  1.20000000e+01  7.89211281e-05  1.19280959e+01  7.89211281e-05  4.99818566e+00  7.89211281e-05  3.29880044e+00  7.89211281e-05  1.19121117e+01 
 7.99211281e-05  1.20000000e+01  7.99211281e-05  1.19270872e+01  7.99211281e-05  4.99818566e+00  7.99211281e-05  3.29880044e+00  7.99211281e-05  1.19111043e+01 
 8.09211281e-05  1.20000000e+01  8.09211281e-05  1.19260786e+01  8.09211281e-05  4.99818566e+00  8.09211281e-05  3.29880044e+00  8.09211281e-05  1.19100969e+01 
 8.19211281e-05  1.20000000e+01  8.19211281e-05  1.19250701e+01  8.19211281e-05  4.99818566e+00  8.19211281e-05  3.29880044e+00  8.19211281e-05  1.19090896e+01 
 8.29211281e-05  1.20000000e+01  8.29211281e-05  1.19240616e+01  8.29211281e-05  4.99818566e+00  8.29211281e-05  3.29880044e+00  8.29211281e-05  1.19080824e+01 
 8.39211281e-05  1.20000000e+01  8.39211281e-05  1.19230532e+01  8.39211281e-05  4.99818566e+00  8.39211281e-05  3.29880044e+00  8.39211281e-05  1.19070753e+01 
 8.49211281e-05  1.20000000e+01  8.49211281e-05  1.19220450e+01  8.49211281e-05  4.99818566e+00  8.49211281e-05  3.29880044e+00  8.49211281e-05  1.19060682e+01 
 8.59211281e-05  1.20000000e+01  8.59211281e-05  1.19210368e+01  8.59211281e-05  4.99818566e+00  8.59211281e-05  3.29880044e+00  8.59211281e-05  1.19050613e+01 
 8.69211281e-05  1.20000000e+01  8.69211281e-05  1.19200286e+01  8.69211281e-05  4.99818566e+00  8.69211281e-05  3.29880044e+00  8.69211281e-05  1.19040544e+01 
 8.79211281e-05  1.20000000e+01  8.79211281e-05  1.19190206e+01  8.79211281e-05  4.99818566e+00  8.79211281e-05  3.29880044e+00  8.79211281e-05  1.19030477e+01 
 8.89211281e-05  1.20000000e+01  8.89211281e-05  1.19180127e+01  8.89211281e-05  4.99818566e+00  8.89211281e-05  3.29880044e+00  8.89211281e-05  1.19020410e+01 
 8.99211281e-05  1.20000000e+01  8.99211281e-05  1.19170048e+01  8.99211281e-05  4.99818566e+00  8.99211281e-05  3.29880044e+00  8.99211281e-05  1.19010344e+01 
 9.09211281e-05  1.20000000e+01  9.09211281e-05  1.19159970e+01  9.09211281e-05  4.99818566e+00  9.09211281e-05  3.29880044e+00  9.09211281e-05  1.19000279e+01 
 9.19211281e-05  1.20000000e+01  9.19211281e-05  1.19149893e+01  9.19211281e-05  4.99818566e+00  9.19211281e-05  3.29880044e+00  9.19211281e-05  1.18990215e+01 
 9.29211281e-05  1.20000000e+01  9.29211281e-05  1.19139817e+01  9.29211281e-05  4.99818566e+00  9.29211281e-05  3.29880044e+00  9.29211281e-05  1.18980152e+01 
 9.39211281e-05  1.20000000e+01  9.39211281e-05  1.19129741e+01  9.39211281e-05  4.99818566e+00  9.39211281e-05  3.29880044e+00  9.39211281e-05  1.18970090e+01 
 9.49211281e-05  1.20000000e+01  9.49211281e-05  1.19119667e+01  9.49211281e-05  4.99818566e+00  9.49211281e-05  3.29880044e+00  9.49211281e-05  1.18960028e+01 
 9.59211281e-05  1.20000000e+01  9.59211281e-05  1.19109593e+01  9.59211281e-05  4.99818566e+00  9.59211281e-05  3.29880044e+00  9.59211281e-05  1.18949967e+01 
 9.69211281e-05  1.20000000e+01  9.69211281e-05  1.19099520e+01  9.69211281e-05  4.99818566e+00  9.69211281e-05  3.29880044e+00  9.69211281e-05  1.18939908e+01 
 9.79211281e-05  1.20000000e+01  9.79211281e-05  1.19089448e+01  9.79211281e-05  4.99818566e+00  9.79211281e-05  3.29880044e+00  9.79211281e-05  1.18929849e+01 
 9.89211281e-05  1.20000000e+01  9.89211281e-05  1.19079377e+01  9.89211281e-05  4.99818566e+00  9.89211281e-05  3.29880044e+00  9.89211281e-05  1.18919791e+01 
 9.99211281e-05  1.20000000e+01  9.99211281e-05  1.19069307e+01  9.99211281e-05  4.99818566e+00  9.99211281e-05  3.29880044e+00  9.99211281e-05  1.18909733e+01 
